headline,content
"Movie body targets children's PCs
","
The body that represents the US movie industry has released its latest tool in its campaign to clamp down on movie file-sharing, aimed at parents.

The Movie Association for America's (MPAA) free Parent File Scan software lets parents check their children's computers for peer-to-peer programs. It will also list all movie and music files they have on their hard drive. Parents then have the choice to remove programs and files. The MPAA said files found would not be passed on to it. ""Our ultimate goal is to help consumers locate the resources and information they need to make appropriate decisions about using and trading illegal files,"" said Dan Glickman, MPAA chief. ""Many parents are concerned about what their children have downloaded and where they've downloaded it from.""

But some computer users who had tested the latest software reported on some technology sites that the program had identified Windows default wav files as copyrighted material and wanted to delete them. Movie piracy cost the industry £3.7bn ($7bn) in 2003, according to analysts. The MPAA said in a statement that it would continue to provide easy access to similar tools in the coming months to combat ""the deleterious effects of peer-to-peer software, including such common problems as viruses, Trojan horses and identity theft"".

Mr Glickman said that the film industry was embracing ""digital age technologies"", like Movielink and CinemaNow, which are legal movie sites. ""But legal services such as these need a chance to grow and thrive without having to compete against illegitimate operations that depend on stolen property to survive,"" he added. The industry body also said it had launched a second round of legal action against online movie-swappers across the US, but did not say how many were being sued. Its first set of lawsuits were filed in November 2004. It also started a campaign against operators of BitTorrent, eDonkey and DirectConnect peer-to-peer networks. The first convictions for peer-to-peer piracy were handed out in the US in January. William Trowbridge and Michael Chicoine pleaded guilty to charges that they infringed copyright by illegally sharing music, movies and software.
"
"California sets fines for spyware
","
The makers of computer programs that secretly spy on what people do with their home PCs could face hefty fines in California.

From 1 January, a new law is being introduced to protect computer users from software known as spyware. The legislation, which was approved by Governor Arnold Schwarzenegger, is designed to safeguard people from hackers and help protect their personal information. Spyware is considered by computer experts to be one of the biggest nuisance and security threats facing PC users in the coming year. The software buries itself in computers and can collect a wide range of information. At its worst, it has the ability to hijack personal data, like passwords, login details and credit card numbers. The programs are so sophisticated they change frequently and become impossible to eradicate.

One form of spyware called adware has the ability to collect information on a computer user's web-surfing. It can result in people being bombarded with pop-up ads that are hard to close. In Washington, Congress has been debating four anti-spyware bills, but California is a step ahead. The state's Consumer Protection Against Spyware Act bans the installation of software that takes control of another computer. It also requires companies and websites to disclose whether their systems will install spyware. Consumers are able to seek up to $1,000 in damages if they think they have fallen victim to the intrusive software. The new law marks a continuing trend in California towards tougher privacy rights. A recent survey by Earthlink and Webroot found that 90% of PCs are infested with the surreptitious software and that, on average, each one is harbouring 28 separate spyware programs. Currently users wanting protection from spyware have turned to free programs such as Spybot and Ad-Aware.
"
"Blogs take on the mainstream
","
Web logs or blogs are everywhere, with at least an estimated five million on the web and that number is set to grow.

These online diaries come in many shapes and styles, ranging from people willing to sharing their views, pictures and links, to companies interested in another way of reaching their customers. But this year the focus has been on blogs which cast a critical eye over news events, often writing about issues ignored by the big media or offering an eye-witness account of events. Most blogs may have only a small readership, but communication experts say they have provided an avenue for people to have a say in the world of politics. The most well-known examples include Iraqi Salam Pax's accounts of the US-led war, former Iranian vice-president Mohammad Ali Abtahi exclusive insight into the Islamic Republic's government, and the highs and lows of the recent US election campaign. There are already websites pulling together these first-hand reporting accounts heralded by blogs, like wikinews.com, launched last November.

The blogging movement has been building up for many years.

Andrew Nachison, Director of the Media Center, a US-based think-tank that studies media, technology and society, highlights the US presidential race as a possible turning point for blogs. ""You could look at that as a moment when audiences exercised a new form of power, to choose among many more sources of information than they have never had before,"" he says. ""And blogs were a key part of that transformation."" Among them were blogs carrying picture messages, saying ""we are sorry"" for George W Bush's victory and the responses from his supporters. Mr Nachison argues blogs have become independent sources for images and ideas that circumvent traditional sources of news and information such as newspapers, TV and radio. ""We have to acknowledge that in all of these cases, mainstream media actually plays a role in the discussion and the distribution of these ideas,"" he told the BBC News website. ""But they followed the story, they didn't lead it.""

Some parts of the so-called traditional media have expressed concerns about this emerging competitor, raising questions about the journalistic value of blogs.

Others, like the French newspaper Le Monde, have applied a different strategy, offering blogs as part of its content. ""I don't think the mission and role of journalism is threatened. It is in transition, as society itself is in transition,"" says Mr Nachison. However, he agrees with other experts like the linguist and political analyst Noam Chomsky, that mainstream media has lost the traditional role of news gatekeeper. ""The one-to-many road of traditional journalism, yes, it is threatened. And professional journalists need to acclimate themselves to an environment in which there are many more contributors to the discourse,"" says Mr Nachison. ""The notion of a gatekeeper who filters and decides what's acceptable for public consumption and what isn't, that's gone forever."" ""With people now walking around with information devices in their pockets, like camera or video phones, we are going to see more instances of ordinary citizens breaking stories.""

It seems unlikely that we will end up living in a planet where every human is a blogger.

But the current number of blogs is likely to keep on growing, in a web already overloaded with information. Blog analysis firm Technorati estimates the number of blogs in existence, the so-called blogosphere, has already exceeded five million, and is growing at exponential levels. Tools such as Google's Blogger, MovableType and the recently launched beta version of MSN Spaces are making it easier to run a blog. US research think-tank Pew Internet & American Life says a blog is created every 5.8 seconds, although less than 40% of the total are updated at least once every two months. But experts agree that the phenomenon, allowing individuals to publish, share ideas, exchange information, comment on current issues, post images or video on the web easily, is here to stay. ""We are entering one era in which the technological infrastructure is creating a different context for how we tell our stories and how we communicate with each other,"" said Mr Nachison. ""And there's going to be bad that comes with the good.""
"
"Camera phones are 'must-haves'
","
Four times more mobiles with cameras in them will be sold in Europe by the end of 2004 than last year, says a report from analysts Gartner.

Globally, the number sold will reach 159 million, an increase of 104%. The report predicts that nearly 70% of all mobile phones sold will have a built-in camera by 2008. Improving imaging technology in mobiles is making them an increasingly ""must-have"" buy. In Europe, cameras on mobiles can take 1.3 megapixel images. But in Japan and Asia Pacific, where camera phone technology is much more advanced, mobiles have already been released which can take 3.2 megapixel images. Japan still dominates mobile phone technology, and the uptake there is huge. By 2008, according to Gartner, 95% of all mobiles sold there will have cameras on them.

Camera phones had some teething problems when they were first launched as people struggled with poor quality images and uses for them, as well as the complexity and expense of sending them via MMS (Multimedia Messaging Services). This has changed in the last 18 months. Handset makers have concentrated on trying to make phones easier to use. Realising that people like to use their camera phones in different ways, they have introduced more design features, like rotating screens and viewfinders, removable memory cards and easier controls to send picture messages.

Mobile companies have introduced more ways for people to share photos with other people. These have included giving people easier ways to publish them on websites, or mobile blogs - moblogs. But the report suggests that until image quality increases more, people will not be interested in printing out pictures at kiosks. Image sensor technology inside cameras phones is improving. The Gartner report suggests that by mid-2005, it is likely that the image resolution of most camera phones will be more than two megapixels. Consumer digital cameras images range from two to four megapixels in quality, and up to six megapixels on a high-end camera. But a lot of work is being done to make camera phones more like digital cameras. Some handsets already feature limited zoom capability, and manufacturers are looking into technological improvements that will let people take more photos in poorly-lit conditions, like nightclubs. Other developments include wide-angle modes, basic editing features, and better sensors and processors for recording film clips.

Images from camera phones have even made it into the art world. An exhibition next month in aid of the charity Mencap, will feature snaps taken from the camera phones of top artists.

The exhibition, Fonetography, will feature images taken by photographers David Bailey, Rankin and Nan Goldin, and artists Sir Peter Blake, Tracey Emin and Jack Vettriano. But some uses for them have worried many organisations. Intel, Samsung, the UK's Foreign Office and Lawrence Livermore National Laboratories in the US, have decided to ban camera phones from their buildings for fear of sensitive information being snapped and leaked. Many schools, fitness centres and local councils have also banned them over fears about privacy and misuse. Italy's information commissioner has also voiced concern and has issued guidelines on where and how the phones can be used. But camera phone fears have not dampened the manufacturers' profits. According to recent figures, Sony Ericsson's profits tripled in the third-quarter because of new camera phones. Over 60% of mobiles sold during the three months through to September featured integrated cameras, it said.
"
"Search wars hit desktop PCs
","
Another front in the on-going battle between Microsoft and Google is about to be opened.

By the end of 2004 Microsoft aims to launch search software to find any kind of file on a PC hard drive. The move is in answer to Google's release of its own search tool that catalogues data on desktop PCs. The desktop search market is becoming increasingly crowded as Google, AOL, Yahoo and many smaller firms tout programs that help people find files.

Microsoft made the announcement about its forthcoming search software during a call to financial analysts to talk about its first quarter results. John Connors, Microsoft's chief financial officer said a test version of its desktop search software should be available for download by the end of the year.

""We're going to have a heck of a great race in search between Google, Microsoft and Yahoo,"" he said. ""It's going to be really fun to follow."" Microsoft is coming late to the desktop search arena and its software will have to compare favourably with programs from a large number of rivals, many of which have fiercely dedicated populations of users. The program could be based on the software Microsoft owns as a result of its purchase of Lookout Software in early October. On 14 October Google released desktop search software that catalogues all the files on a PC and lets users use one tool to find e-mail messages, spreadsheets, text files and presentations. The software will also find webpages and messages sent via AOL Instant Messenger.

Many other firms have released desktop search systems recently too. Companies such as Blinkx, Copernic, Enfish X1 Technologies and X-Friend all do the same job of cataloguing the huge amounts of information that people increasingly store on their desktop or home computer.

Apple has also debuted a similar search system for its computers called Spotlight that is due to debut with the release of the Tiger operating system. Due to follow are net giants AOL and Yahoo. The latter recently bought Stata Labs to get its hands on search software that people can use. Microsoft is also reputedly working on a novel search system for the next version of Windows (codenamed Longhorn). However this is not likely to appear until 2006. ""The recent activity in the search industry shows that there is a need to move beyond simple keyword-based web search,"" said Kathy Rittweger, co-founder of Blinkx. ""Finding information of our own computers is becoming as difficult as it is to find the relevant webpage amongst the billions that exist.""

Desktop search has become important for several reasons. According to research by message analysts the Radicati Group up to 45% of the information critical to keeping many businesses running sits in e-mail messages and attachments. JF Sullivan, spokesman for e-mail software firm Sendmail said many organisations were starting to realise how important messaging was to their organisation and the way the work. ""The key thing is being able to manage all this information,"" he said. Also search is increasingly key to the way that people get around the internet. Many people use a search engine as the first page they go to when getting on the net. Many others use desktop toolbars that let them search for information no matter what other program they are using. Having a tool on a desktop can be a lucrative way to control where people go online. For companies such as Google which relies on revenue from adverts this knowledge about what people are looking for is worth huge amounts of money. But this invasiveness has already led some to ask about the privacy implications of such tools.
"
"Viewers to be able to shape TV
","
Imagine editing Titanic down to watch just your favourite bits or cutting out the slushier moments of Star Wars to leave you with a bare bones action-fest.

Manipulating your favourite films to make a more personalised movie is just the beginning of an ambitious new 7.5m euro (£5.1m) project funded by the European Union. New Media for a New Millennium (NM2) will have as its endgame the development of a completely new media genre, which will allow audiences to create their own media worlds based on their specific interests or tastes. Viewers will be able to participate in storylines, manipulate plots and even the sets and props of TV shows. BT is one of 13 partners involved in the project. It will be contributing software that was originally designed to spot anomalies in CCTV pictures. The software uses content recognition algorithms. The three-year project will work on seven productions as it develops a set of software tools that will allow viewers to edit content to their needs.

One of the productions will be a experimental television show where the plot will be driven by text messages from the TV audience.

Participants will text selected words which will impact how the characters in the drama interact. It is being developed in Finland and will be shown to Finnish TV audiences. Another team will work on the BBC's big budget drama of Mervyn Peake's gothic fantasy Gormenghast. It will be re-engineered to allow people to choose a variety of edited versions. ""The BBC is allowing us access to the material so that we can prove the technology and the principles,"" explained Dr Doug Williams of BT, who will be NM2's technical project manager. ""The TV at the moment is a relatively dumb box which receives signals. This project is about teaching the machine to look at content like Lego blocks that can be reassembled to make perfect sense,"" he said. ""At the moment we have interactive gaming and a limited form of interactive TV which usually means allowing audiences to vote on shows. We are hoping to occupy the space in-between,"" he added.

NM2's co-ordinator Peter Stollenmayer explained that the new genre would radically alter the role of the audience.

""Viewers will be able to interact directly with the medium and influence what they see and hear according to their personal tastes and wishes,"" he said. ""Media users will no longer be passive viewers but become active engagers."" It will also be important that the tools are sophisticated enough to obey the complex rules of cinematography and editing said John Wyver, from TV producer Illuminations Television Limited, which is also involved in the project. ""It's not just a matter of stringing together the romantic or action portions of a production,"" said Mr Wyver. ""The tool has to know which bits fit together both visually, by observing the time-honoured rules that go in editing, and in terms of the story."" ""Only then will the personalised version both make sense and be aesthetically pleasing,"" he added. Mr Wyver is planning a production entitled The Golden Age, about Renaissance art. It will allow viewers to create a so-called media world based on their own specific areas of interest such as poetry, music and architecture. Other productions that the NM2 team will make range from news, documentaries to a romantic comedy drama.
"
"Joke e-mail virus tricks users
","
A virus that disguises itself as a joke is spreading rapidly across the net.

Anti-virus firms are issuing high-level warnings about the new version of the Bagle e-mail program that seems to be catching a lot of people out. The Windows virus grabs e-mail addresses from Microsoft Outlook and uses its own mail sending software to spread itself to new victims. When it infects a machine, the Bagle variant turns off security measures that usually protect PCs.

The new variant is called Bagle.AT, Bagle.BB and Bagle.AU and the attachment bearing the virus code is labelled as either ""joke"" or ""price"".

The body of the virus usually contains nothing but a smiley or emoticon. The virus can strike computers running Windows 95, 98, ME, NT, 2000 and XP. Users will be infected if they open the attachment that travels with the e-mail. As well as plundering Microsoft Outlook for e-mail addresses to send itself to, Bagle.AT also tries to turn off the firewall and security centre services on Windows XP machines. BBC News Online has received five warnings about the virus from security companies. Finnish company F-Secure gave the virus its second highest threat level. ""We've had several reports all over the world,"" said Mikko Hypponen, director of anti-virus research for F-Secure. Security firm Network Box said that it stopped more than 30,000 copies an hour of the virus as the outbreak reached a peak. Black Spider said it had stopped more than 1 million copies of Bagle.AT since the outbreak began at 0630 BST (0530 GMT). Anti-virus firms urged users to be wary of unexpected e-mail messages bearing attachments and to update their software to ensure they are protected against the latest threats.
"
"Concerns over Windows ATMs
","
Cash machine networks could soon be more susceptible to computer viruses, a security firm has warned.

The warning is being issued because many banks are starting to use the Windows operating system in machines. Already there have been four incidents in which Windows viruses have disrupted networks of cash machines running the Microsoft operating system. But banking experts say the danger is being overplayed and that the risks of infection and disruption are small.

For many years the venerable IBM operating system, known as OS/2, has been the staple software used to power many of the 1.4m cash machines in operation around the world. But IBM will end support for OS/2 in 2006 which is forcing banks to look for alternatives. There are also other pressures making banks turn to Windows said Dominic Hirsch, managing director of financial analysis firm Retail Banking Research.

He said many cash machines will also have to be upgraded to make full use of the new Europay, Mastercard and Visa credit cards that use computer chips instead of magnetic stripes to store data. US laws that demand disabled people get equal access to information will also force banks to make their cash machines more versatile and able to present information in different ways. Todd Thiemann, spokesman for anti-virus firm Trend Micro, said the move to Windows in cash machines was not without risks. Mr Thiemann said research by the TowerGroup showed that 70% of new cash machines being installed were Windows based.

Already, he said, there have been four incidents in which cash machines have been unavailable for hours due to viruses affecting the network of the bank that owns them.

In January 2003 the Slammer worm knocked out 13,000 cash machines of the Bank of America and many of those operated by the Canadian Imperial Bank of Commerce. In August of the same year, cash machines of two un-named banks were put out of action for hours following an infection by the Welchia worm. Incidents like this happen, said Mr Thiemann, because when banks start using Windows cash machines they also change the networking technology used to link the devices to their back office computers. This often means that all the cash machines and computers in a bank share the same data network. ""This could mean that cash machines get caught up in the viruses that are going around because they have a common transmission system,"" he said. ""Banks need to consider protection as part of the investment to maintain the security of that network,"" Mr Thiemann told BBC News Online.

But Mr Hirsch from Retail Banking Research said the number of cash machines actually at risk was low because so few were upgraded every year.

Currently, he said, a cash machine has a lifetime of up to 10 years which means that only about 10% of all ATMs get swapped for a newer model every year. ""Windows cash machines have been around for several years,"" he said. ""Most banks simply upgrade as part of their usual replacement cycle."" ""In theory there is a bigger threat with Windows than OS/2,"" he said, ""but I do not think that the banks are hugely concerned at the moment."" ""It's pretty unusual to hear about virus problems with ATMs,"" he said. The many different security systems built-in to cash machines meant there was no chance that a virus could cause them to start spitting out cash spontaneously, he said. Banks were more likely to be worried about internal networks being overwhelmed by worms and viruses and customers not being able to get cash out at all, he added. A spokesman for the Association of Payment and Clearing Services (Apacs) which represents the UK's payments industry said the risk from viruses was minimal. ""There's no concern that there's going to be any type of virus hitting the UK networks,"" he said. Risks of infection were small because the data networks that connect UK cash machines together and the operators of the ATMs themselves were a much smaller and tightly-knit community than in the US where viruses have struck.
"
"Seamen sail into biometric future
","
The luxury cruise liner Crystal Harmony, currently in the Gulf of Mexico, is the unlikely setting for tests of biometric technology.

As holidaymakers enjoy balmy breezes, their ship's crew is testing prototype versions of the world's first internationally issued biometric ID cards, the seafarer's equivalent of a passport. Along with the owner's picture, name and personal details, the new Seafarers' Identity Document incorporates a barcode representing unique features of its holder's fingerprints. The cards are due to be issued in February next year, in line with the revised UN Convention on Seafarers' Identity Documents of June 2003. Tests currently under way in the Caribbean are designed to ensure that new cards and their machine readers, produced by different companies in different countries, are working to interoperable standards. Results of the current tests, which involve seafarers from a wide range of occupations and nationalities, will be published by the International Labour Organisation (ILO) by the end of November. Crystal Cruises, which operates the Crystal Harmony, is exploring the use of biometrics but has not yet committed to the technology.

Authenti-corp, the US technology consultancy, has been working with the ILO on its technical specifications for the cards.

""If you're issued a seafarer's ID in your country, you want to be sure that when the ship lands in a port in, say, my country you can validate yourself using whatever equipment we have installed,"" Authenti-corp's CEO, Cynthia Musselman, told the BBC's Go Digital programme. She said French, Jordanian and Nigerian nationals would be the first seafarers to get the new ID cards since their countries have already ratified the convention. It aims to combat international terrorism whilst guaranteeing the welfare the one million seafarers estimated to be at sea. The convention highlights the importance of access to shore facilities and shore leave as vital elements to a sailor's wellbeing and, therefore, it says, to safer shipping and cleaner oceans. ""By increasing security on the seas as well as border control and protection, the cards will hopefully reduce the number of piracy problems around the world,"" said Ms Musselman. ""It should be a safer environment for seafarers to work in, and will allow people protecting their borders to have confidence that the people getting off the ship are, in fact, seafarers.""
"
"Football Manager scores big time
","
For the past decade or so the virtual football fans among us will have become used to the annual helping of Championship Manager (CM). Indeed, it seems like there has been a CM game for as many years as there have been PCs.

However, last year was the final time that developers Sports Interactive (SI) and publishers Eidos would work together. They decided to go their separate ways, and each kept a piece of the franchise. SI kept the game's code and database, and Eidos retained rights to the CM brand, and the look and feel of the game. So at the beginning of this year, fans faced a new situation. Eidos announced the next CM game, with a new team to develop it from scratch, whilst SI developed the existing code further to be released, with new publishers Sega, under the name Football Manager. So what does this mean? Well, Football Manager is the spiritual successor to the CM series, and it has been released earlier than expected. At this point CM5 looks like it will ship early next year. But given that Football Manager 2005 is by and large the game that everybody knows and loves, how does this new version shape up?

A game like FM2005 could blind you with statistics. It has an obscene number of playable leagues, an obscene number of manageable teams and a really obscene number of players and staff from around the world in the database, with stats faithfully researched and compiled by a loyal army of fans. But that does not do justice to the game really. What we are talking about is the most realistic and satisfying football management game to ever grace the Earth.

You begin by picking the nations and leagues you want to manage teams from, for instance England and Scotland. That will give you a choice not just of the four main Scottish leagues, but the English Premiership all the way down to the Conference North and South. Of course you might be looking for European glory, or to get hold of Abramovich's millions, in which case you can take control at Chelsea, or even Barcelona, Real Madrid, AC Milan ... the list goes on a very long way. Once in a team you will be told by the board what they expect of you. Sometimes it is promotion, or a place in Europe, sometimes it is consolidation or a brave relegation battle. It might even be a case of Champions or else. Obviously the expectations are linked to the team you choose, so choose wisely. Then it is time to look at your squad, work out your tactics, seeing how much cash, if any, you have got to splash, having a look at the transfer market, sorting out the training schedule and making sure your backroom staff are up to it. Then bring on the matches, which are once more available in the ever-improving top down 2D view. With the exception of the improved user interface on the surface, not much else seems to have changed.

However, there have been a lot of changes under the bonnet as well - things like the manager mind-games, which let you talk to the media about the opposition bosses. The match engine is also much improved, and it is more of a joy than ever to watch. In fact just about every area of the game has been tweaked, and it leads to an ever more immersive experience.

With a game that is so complex and so open-ended, there are of course a few glitches, but nowhere near the sorts of problems that have blighted previous releases. With so many calculations to perform the game can take some time to process in between matches, though there have been improvements in this area. And a sport like football, which is so high profile and unpredictable itself, can never be modelled quite to everybody's satisfaction. But this time around a great deal of hard work has been put in to ensure that any oddities that do crop up are cosmetic only, and do not affect gameplay. And if there are problems further down the line, Sports Interactive have indicated their usual willingness to support and develop the game as far as possible. In all there are many more tweaks and improvements. If you were a fan of the previous CM games, then FM2005 might make you forget there was anything else before it. If you are new to the genre but like the idea of trying to take Margate into the Premiership, Spurs into Europe, or even putting Rangers back on the top of the tree, FM2005 could be the best purchase you ever made. Just be warned that the family might not see you much at Christmas.

Football Manager 2005 out now for the PC and the Mac
"
"DS aims to touch gamers
","
The mobile gaming industry is set to explode in 2005 with a number of high-profile devices offering a range of gaming and other features such as movie and music playback. Market leader Nintendo, however, is releasing a handheld console that it says will revolutionise the way games are played.

The first striking thing about the DS is how retro it looks. Far from looking like a mould-breaking handheld, it looks more like Nintendo dug out a mould from a 1980s handheld prototype. The lightweight clam shell device opens up to reveal two screens, and when switched on it instantly reveals its pedigree. Both screens are crisp and clear while the bottom of the two is touch sensitive. Nintendo has given developers free rein to utilise the dual screens and ability to control the action by simply touching the screen.

The Japanese gaming giant hopes the DS will maintain the firm's pre-eminence in an increasingly-competitive mobile gaming market.

Nintendo first launched its GameBoy console in 1989 and has dominated the market ever since. But its lead can no longer be taken for granted. Sony will enter the market later this year with its PlayStation Portable, while start-up companies Gizmondo and Tapwave Zodiac are also offering hybrid devices. ""We believe the DS will appeal to all ages, both genders and gamers of any skill,"" said David Yarnton, Nintendo Europe's general manager said at the recent press launch for the handheld. With its two screens, wireless connectivity and backwards compatibility with the GameBoy Advance, the DS certainly has a number of unique selling points. It went on sale in the US in mid-November priced $150 and Nintendo says sales have exceeded expectations, without giving detailed figures. Japan and Europe will have to wait until the first quarter of 2005 to get the device. With more than two million pre-orders for the device in Japan, Nintendo is confident it will keep its number one spot. But will the device prove to be as revolutionary as claimed? The game ships with a demo of Metroid Hunters - a 3D action title which can be played alone or with a group of friends using the machine's wireless capabilities. It certainly looks impressive on the small machine and plays smoothly even with a group of people.

The game can be controlled by using the supplied stylus to aim. The top screen is used to navigate the action while the bottom screen offers a top-down map and the ability to switch weapons. It is certainly a unique control method and while it makes aiming more controlled it can be a little disorientating. Super Mario 64 DS is a faithful re-creation of the Nintendo 64 classic with a host of new mini-games and new levels. The game looks stunning on the portable machine and the sound too is impressive for such a small machine. One thing is for certain. Hardened gamers will have to learn to adapt to a new way of playing while it could prove to be an accessible way in to gaming for novices, Ultimately the success or failure of the device lies in the hands of developers. If they manage to create titles which use the Nintendo DS's key features then a whole new market of gamers could open up. The fear is that the touch screen and voice recognition are treated as little more than gimmicks.
"
"No half measures with Half-Life 2
","
Could Half-Life 2 possibly live up to the hype? After almost two years of tantalising previews and infuriating delays it's safe to say that this is the most highly-anticipated computer game of all time.

Fortunately, it doesn't merely live up to its promise, but exceeds it. No-one who plays the finished product will wonder why it took so long. The impression is of a game that has been endlessly refined to get as close to perfection as could realistically be hoped. All the money - or indeed time - is on the screen. The player sees things through the eyes of Gordon Freeman, the bespectacled scientist who starred in the original 1998 Half-Life. Having survived that skirmish in an desolate monster-infested research facility, he's back in another foreboding troublespot - the enigmatic City 17. It has the look of a beautiful Eastern European city, but as soon as your train pulls in to the station, it's clear that all is not well here. Sinister police patrol the unkempt streets, and the oppressive atmosphere clobbers you like a sledgehammer. A casual smattering of the nightmarish creatures from the first game makes this an even less pleasant place to be.

You are herded around like a prisoner and have to mingle with a few freedom-fighting civilians to gather information and progress in your task. It is not immediately explained what your objectives are, nor precisely why everything is so ravaged. Finding out step-by-step is all part of the experience, although you never fully get to understand what it was all about. That does not really matter. HL2 does not waste energy blinding you with plot. Underplaying the narrative in this way is gloriously effective, and immerses the player in the most vivid, convincing and impressive virtual world they are likely to have seen. There are no cut-scenes to interrupt the flow. Exposition is accomplished by other characters stopping to talk directly to you.

Whereas the highly impressive Doom III felt like a top-notch theme park thrill-ride, wandering through Half-Life's world truly does feel like being part of a movie.

Considering its sophistication, the game runs surprisingly well on computers that only just match the modest minimum specifications. But if ever there was an incentive to upgrade your PC's components, this is it. On our test machine - an Alienware system with an Athlon 3500+ processor and ATI's Radeon X800 video card - everything ran at full quality without trouble, and the visual experience was simply jaw-dropping. It is not simply that the surfaces, textures and light effects push the technical envelope without mercy, but that such care and artistic flair has gone into designing them. The haunting, grim landscapes become strangely beautiful. Luckily you get time to pause mid-task and marvel at the awesome graphical flourishes of your surroundings. So impressive are the physics that you'll find yourself hurling bits of rubbish around and prodding floating corpses just to marvel at the lifelike way they move. There are puzzles to be solved along the way, pitched at about the right difficulty, but most progress is achieved by force. Freeman is quickly reunited with the original game's famous crowbar, and an array of more sophisticated weapons soon follow.

Virtually anything not nailed to the floor can be interacted with, and in realistic fashion. You will be wowed by the attention-to-detail as you chip bits of plaster off walls, chase a pigeon out of your way, or dodge exploding barrels as they ping around at deadly speed. At times Half-Life 2 feels like one of those annoying people who are unfeasibly brilliant at everything they turn their hand to, and in a curious way, its unrelenting goodness actually becomes almost tiresome. Running around on foot is great enough, but jumping into vehicles proves even more fun. Human foes are rendered just as well as alien ones. The stealth sections are as exhilarating as the open gun battles. In gameplay terms, HL2 somehow gets almost everything perfect. And without resorting to the zombies-leaping-out-of-shadows approach of Doom III, it's all incredibly unsettling. The vacant environment is distinctly eerie, and at one point I even caught myself hesitating to go down a murky tunnel for fear of what might be inside.

The game does have a couple of problems. Firstly, the carefully-scripted way that you progress through each level might irk some people.

A lot of things are meticulously choreographed to happen on cue, which makes for exciting moments, but may be an annoyance to some players and limit the appeal of playing again once you've completed it. If you like things open-ended and free-ranging, Far Cry will be a lot more pleasing. But the real downside is the hassle of getting the game to run. Installing it proved a life-draining siege that would test a saint's patience. Developer Valve has rashly assumed that everyone wanting to play the game will have an internet connection and it forces you to go online to authenticate your copy. The box does warn you of this anti-piracy measure, but does not say just how many components have to be downloaded. The time spent doing this will depend on your connection speed, the temperamental Valve servers and the time of day, but it can take hours. It would take a mighty piece of work to feel worthwhile after such annoyances - but luckily, Half-Life 2 is up to the challenge. It is surely the best thing in its genre, and possibly, many will feel, of any genre. The bar has been raised, and so far out of sight that you have to sympathise with any game that tries to do anything remotely similar in the near future.

Half-Life 2 is out now for the PC
"
"Doors open at biggest gadget fair
","
Thousands of technology lovers and industry experts have gathered in Las Vegas for the annual Consumer Electronics Show (CES).

The fair showcases the latest technologies and gadgets that will hit the shops in the next year. About 50,000 new products will be unveiled as the show unfolds. Microsoft chief Bill Gates is to make a pre-show keynote speech on Wednesday when he is expected to announce details of the next generation Xbox.

The thrust of this year's show will be on technologies which put people in charge of multimedia content so they can store, listen to, and watch what they want on devices any time, anywhere. About 120,000 people are expected to attend the trade show which stretches over more than 1.5 million square feet. Highlights will include the latest trends in digital imaging, storage technologies, thinner flat screen and high-definition TVs, wireless and portable technologies, gaming, and broadband technologies. The show also includes several speeches from key technology companies such as Intel, Microsoft, and Hewlett Packard among others. ""The story this year remains all about digital and how that is completely transforming and revolutionising products and the way people interact with them,"" Jeff Joseph, from the Consumer Electronics Association (CEA) told the BBC News website. ""It is about personalisation - taking your MP3 player and creating your own playlist, taking your digital video recorder and watch what you want to watch when - you are no longer at the whim of the broadcasters.""

Consumer electronics and gadgets had a phenomenal year in 2004, according to figures released by CES organisers, the CEA, on Tuesday. The gadget explosion signalled the strongest growth yet in the US in 2004. Shipments of consumer electronics rose by almost 11% between 2003 and 2004. That trend is predicted to continue, according to CEA analysts, with wholesale shipments of consumer technologies expected to grow by 11% again in 2005. The fastest-growing technologies in 2004 included blank DVD media, Liquid Crystal Display (LCD) TVs, digital video recorders (DVRs), and portable music players. ""This year we will really begin to see that come to life in what we call place shifting - so if you have your PVR [personal video recorder] in your living room, you can move that content around the house. ""Some exhibitors will be showcasing how you can take that content anywhere,"" said Mr Joseph. He said the products which will be making waves in the next year will be about the ""democratisation"" of content - devices and technologies that will give people the freedom to do more with music, video, and images. There will also be more focus on the design of technologies, following the lead that Apple's iPod made, with ease of use and good looks which appeal to a wider range of people a key concern.

The CEA predicted that there would be several key technology trends to watch in the coming year. Gaming would continue to thrive, especially on mobile devices, and would reach out to more diverse gamers such as women. Games consoles sales have been declining, but the launch of next generation consoles, such as Microsoft's Xbox and PlayStation, could buoy up sales. Although it has been widely predicted that Mr Gates would be showcasing the new Xbox, some media reports have cast doubt on what he would be talking about in the keynote. Some have suggested the announcement may take place at the Games Developers Conference in the summer instead. With more than 52% of US homes expected to have home networks, the CEA suggested hard drive boxes - or media servers - capable of storing thousands of images, video and audio files to be accessed through other devices around the home, will be more commonplace. Portable devices that combine mobile telephony, digital music and video players, will also be more popular in 2005. Their popularity will be driven by more multimedia content and services which will let people watch and listen to films, TV, and audio wherever they are. This means more storage technologies will be in demand, such as external hard drives, and flash memory like SD cards. CES runs officially from 6 to 9 January.
"
